FID,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,TC_ID,Shape_Leng,OBJECTID_1,TC_ID_1,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_2,TC_ID_12,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,Shape__Area,Shape__Length
526,8362,Charlestown Parcel 6,MassDOT,CAT Mit,1,Charlestown,0.12,"2 Freedom Way, Charlestown, MA",Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,5053.023682,282.9090381, ,INFO_Reallocation From Dept,8362,282.9090381,527,8362,0,0,4651,5054,403,5054,0,92.02611793,100,7.973882074,527,8362,5054,0,4651,0,0,0,0,403,4651,403,0,92.02611793,0,0,0,0,7.973882074,92.02611793,7.973882074,5053.022705,282.9090381
527,8363,West End Park,MassDOT,CAT Mit,1,Central Boston,0.14,"1 Blossom St, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,5926.283203,543.1173961, ,INFO_Reallocation From Dept,8363,543.1173962,528,8363,0,1309,1763,5928,2856,4619,22.08164642,29.74021592,77.91835358,48.17813765,528,8363,5928,1309,1763,0,0,0,0,2856,3072,2856,22.08164642,29.74021592,0,0,0,0,48.17813765,51.82186235,48.17813765,5926.281982,543.1173962
528,8364,Urban Arboretum,MassDOT,CAT Mit,1,Central Boston,1.95,"303 Adams St, Dorchester, MA",Special District,"Malls, Squares & Plazas",NULL,Private,N,X, ,MA DOT,0,0,84846.5061,3318.749453, ,INFO_Reallocation From Dept,8364,3318.749453,529,8364,0,56877,8885,84830,16950,25835,67.04821408,10.47388895,30.4550277,19.98113875,529,8364,84830,56877,8885,0,0,0,2118,16950,65762,19068,67.04821408,10.47388895,0,0,0,2.496758222,19.98113875,77.52210303,22.47789697,84846.50659,3318.749453
529,8365,Lincoln Street Green,MassDOT,A97/CAT Mit/RFK,1,Central Boston,0.18,"17 South Street, Boston, MA",Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,Kennedy Greenway Parcel 23b, ,0,0,7734.472656,516.3328, ,INFO_Reallocation From Dept,8365,516.3328,530,8365,0,4170,2917,7738,598,3515,53.88989403,37.69707935,45.42517446,7.728095115,530,8365,7738,4170,2917,0,0,53,0,598,7087,651,53.88989403,37.69707935,0,0,0.684931507,0,7.728095115,91.58697338,8.413026622,7734.472168,516.3328
530,8366,Leather District Park,MassDOT,CAT Mit,1,Central Boston,0.42,"29-31 South Street, Boston, MA",Special District,"Malls, Squares & Plazas",NULL,Kennedy Greenway Conservancy,N,X, , ,0,0,18335.94946,1693.909011, ,INFO_Reallocation From Dept,8366,1693.909011,531,8366,0,3844,54,18341,13756,13810,20.95850826,0.294422332,75.2957854,75.00136307,531,8366,18341,3844,54,0,0,374,313,13756,3898,14443,20.95850826,0.294422332,0,0,2.039147266,1.706559075,75.00136307,21.25293059,78.74706941,18335.94922,1693.909011
531,8367,Chinatown Park,MassDOT,A97/CATMit/RFK,1,Central Boston,0.61,"2 Boylston St, Boston, MA",Open Space District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,Kennedy Greenway Parcel 23b, ,0,0,36674.01978,2766.241439, ,INFO_Reallocation From Dept,8367,2766.241439,532,8367,1,18806,2592,36682,15134,17726,51.26765171,7.06613598,48.32342838,41.25729241,532,8367,36682,18806,2592,0,0,132,18,15134,21398,15284,51.26765171,7.06613598,0,0,0.359849517,0.049070389,41.25729241,58.33378769,41.66621231,36674.02026,2766.241439
532,8368,Armenian Heritage Park,MassDOT,CAT Mit,1,Central Boston,0.25,"1 Heritage St, Boston, MA",Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy,Armenian Heritage Foundation,X,X, , ,0,0,11056.46143,421.0621617, ,INFO_Reallocation From Dept,8368,421.0621617,533,8368,0,1860,172,11049,9017,9189,16.83410263,1.556701964,83.16589737,81.6091954,533,8368,11049,1860,172,0,0,0,0,9017,2032,9017,16.83410263,1.556701964,0,0,0,0,81.6091954,18.3908046,81.6091954,11056.46118,421.0621617
533,8369,North Street Park,MassDOT,CAT Mit,1,Central Boston,0.24,"1 North St, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N, , , ,0,0,10665.73022,424.769323, ,INFO_Reallocation From Dept,8369,424.7693229,534,8369,0,2327,3212,10664,3919,7131,21.82108027,30.12003001,66.86984246,36.74981245,534,8369,10664,2327,3212,0,0,1206,0,3919,5539,5125,21.82108027,30.12003001,0,0,11.30907727,0,36.74981245,51.94111028,48.05888972,10665.73022,424.7693229
534,8370,Endicott Triangle,MassDOT,A97/CAT Mit/RFK,1,Central Boston,0.35,"21 Endicott St, Boston, MA",Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,Rose Kennedy Greenway Parcel 5, ,0,0,1673.928711,201.0133778, ,INFO_Reallocation From Dept,8370,201.0133777,535,8370,0,1324,0,1673,349,349,79.13927077,0,20.86072923,20.86072923,535,8370,1673,1324,0,0,0,0,0,349,1324,349,79.13927077,0,0,0,0,0,20.86072923,79.13927077,20.86072923,1673.928955,201.0133777
535,8371,RFK Greenway I,MassDOT,CAT Mit,1,Central Boston,0.24,"35 Northampton St, Roxbury, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,6898.383301,681.4693835, ,INFO_Reallocation From Dept,8371,681.4693834,536,8371,0,5183,1045,6898,250,1295,75.13772108,15.14931864,18.77355755,3.62423891,536,8371,6898,5183,1045,0,0,420,0,250,6228,670,75.13772108,15.14931864,0,0,6.088721369,0,3.62423891,90.28703972,9.712960278,6898.384033,681.4693834
536,8372,Dewey Square Parks,MassDOT,A97/CATMit/RFK,1,Central Boston,2.64,"600 Atlantic Ave, Boston, MA",Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,"RFK Greenway Parcels 19,21,22", ,0,0,115010.2808,2887.468528, ,INFO_Reallocation From Dept,8372,2887.468528,537,8372,0,49922,49843,115011,15132,64975,43.40628288,43.3375938,56.49459617,13.15700237,537,8372,115011,49922,49843,546,0,0,114,14586,100311,14700,43.40628288,43.3375938,0.474737199,0,0,0.099120954,12.68226517,87.21861387,12.78138613,115010.2805,2887.468528
537,8373,Dewey Square Plaza,MassDOT,CAT Mit,1,Central Boston,0.58,"389 Congress St, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,25403.55688,687.6359818, ,INFO_Reallocation From Dept,8373,687.6359818,538,8373,0,861,3,25412,21925,21928,3.388163073,0.011805446,86.28994176,86.27813631,538,8373,25412,861,3,0,0,0,2623,21925,864,24548,3.388163073,0.011805446,0,0,0,10.32189517,86.27813631,3.399968519,96.60003148,25403.55713,687.6359818
538,8374,Wormwood Park,Commonwealth of Massachusetts,CATMit/MHP/Ch91,1,South Boston,0.13,"261 A Street, Boston, MA",Industrial District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,5679.842773,312.8156168, ,INFO_Reallocation From Dept,8374,312.8156168,539,8374,0,3602,1862,5678,152,2014,63.43783022,32.79323706,35.470236,2.676998943,539,8374,5678,3602,1862,0,0,0,62,152,5464,214,63.43783022,32.79323706,0,0,0,1.09193378,2.676998943,96.23106728,3.768932723,5679.842773,312.8156168
539,8375,Federal Reserve Bank Harborwalk,City of Boston, ,1,Central Boston,0.08,"600 Atlantic Ave, Boston, MA",Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,3498.8396,584.6977379, ,INFO_Reallocation From Dept,8375,584.6977379,540,8375,0,1724,0,3493,1769,1769,49.35585457,0,50.64414543,50.64414543,540,8375,3493,1724,0,0,0,0,0,1769,1724,1769,49.35585457,0,0,0,0,0,50.64414543,49.35585457,50.64414543,3498.840088,584.6977379
540,8376,Tufts Wharf Harborwalk,Private,CATMit/Ch91/WPA,1,Central Boston,0.73,"510 Atlantic Avenue, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,32195.32788,905.9495897, ,INFO_Reallocation From Dept,8376,905.9495897,541,8376,312,0,8377,31885,21982,30359,0,26.27254195,95.21405049,68.94150855,541,8376,31885,0,8377,0,0,1526,0,21982,8377,23508,0,26.27254195,0,0,4.785949506,0,68.94150855,26.27254195,73.72745805,32195.32788,905.9495897
541,8377,Russia Wharf Harborwalk,Private,CAT Mit,1,Central Boston,0.06,"75 Northern Ave, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,2663.582275,408.1418782, ,INFO_Reallocation From Dept,8377,408.1418782,542,8377,1762,5,0,898,893,893,0.556792873,0,99.44320713,99.44320713,542,8377,898,5,0,0,0,0,0,893,5,893,0.556792873,0,0,0,0,0,99.44320713,0.556792873,99.44320713,2663.582275,408.1418782
542,8378,Atlantic Avenue Plantings,MBTA, ,1,Central Boston,0.58,"90 Atlantic Ave, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,25390.76489,2200.596122, ,INFO_Reallocation From Dept,8378,2200.596122,543,8378,0,14753,4949,25384,4069,9018,58.11928774,19.49653325,35.52631579,16.02978254,543,8378,25384,14753,4949,0,0,1274,339,4069,19702,5682,58.11928774,19.49653325,0,0,5.018909549,1.335486921,16.02978254,77.61582099,22.38417901,25390.76587,2200.596122
543,8379,Binford Street Park,Private,CATMit/Ch91/WPA,1,South Boston,0.45,"25 Binford St, Dorchester, MA",Industrial District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,19816.95435,808.2081401, ,INFO_Reallocation From Dept,8379,808.2081401,544,8379,1844,3176,5322,17987,9489,14811,17.65719686,29.5880358,82.34280314,52.75476733,544,8379,17987,3176,5322,0,0,0,0,9489,8498,9489,17.65719686,29.5880358,0,0,0,0,52.75476733,47.24523267,52.75476733,19816.95435,808.2081401
544,8380,CANA Portal,MassDOT, ,1,Charlestown,1.15,"400-402 River St, Mattapan, MA",Residential District,"Malls, Squares & Plazas",NULL, ,N, , ,MADOT,0,0,50441.13403,2979.370969, ,INFO_Reallocation From Dept,8380,2979.370969,545,8380,0,9658,5681,50432,15873,21554,19.15053934,11.26467322,42.73873731,31.47406409,545,8380,50432,9658,5681,0,0,16548,2672,15873,15339,35093,19.15053934,11.26467322,0,0,32.8125,5.29822335,31.47406409,30.41521256,69.58478744,50441.13354,2979.370969
545,8381,Galvin Green,Commonwealth of Massachusetts,CAT Mit,1,Charlestown,5.13,"40-58 Everett St, Allston, Boston, MA",Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,223494.689,5169.567584, ,INFO_Reallocation From Dept,8381,5169.567584,546,8381,0,89270,104663,223515,10279,114942,39.93915397,46.82594009,51.42473659,4.598796501,546,8381,223515,89270,104663,0,0,147,19156,10279,193933,29582,39.93915397,46.82594009,0,0,0.065767398,8.570342035,4.598796501,86.76509407,13.23490593,223494.6895,5169.567584
546,8382,I-90 Interchange,MassDOT,CAT Mit,7,Central Boston,1.54,"90 Interchange, Allston, MA",Special District,"Malls, Squares & Plazas",NULL,MassDOT,N, , , ,0,0,66995.62109,1007.375083, ,INFO_Reallocation From Dept,8382,1007.375083,547,8382,0,0,66912,66998,86,66998,0,99.87163796,100,0.128362041,547,8382,66998,0,66912,0,0,0,0,86,66912,86,0,99.87163796,0,0,0,0,0.128362041,99.87163796,0.128362041,66995.62036,1007.375083
547,8383,North End Park,MassDOT,A97/CAT Mit/RFK,1,Central Boston,2.83,"174 North St, Boston, MA",Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,Kennedy Greenway Parcels 8&10, ,0,0,123174.575,2086.973285, ,INFO_Reallocation From Dept,8383,2086.973284,548,8383,0,23083,39967,123175,57139,97106,18.74000406,32.44733103,78.83580272,46.38847169,548,8383,123175,23083,39967,0,0,0,2986,57139,63050,60125,18.74000406,32.44733103,0,0,0,2.424193221,46.38847169,51.18733509,48.81266491,123174.5784,2086.973284
548,8384,Wharf District Park,MassDOT,A97/CAT Mit/RFK,1,Central Boston,4.71,"155 Milk St, Boston, MA",Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,Kennedy Greenway Parcels 14-17, ,0,0,205210.5835,3896.122992, ,INFO_Reallocation From Dept,8384,3896.122992,549,8384,0,53021,37472,205208,104553,142025,25.83768664,18.26049667,69.21026471,50.94976804,549,8384,205208,53021,37472,0,0,6846,3316,104553,90493,114715,25.83768664,18.26049667,0,0,3.336127247,1.615921407,50.94976804,44.09818331,55.90181669,205210.582,3896.122992
549,8385,McGann Park,City of Boston,A97,3,Roslindale,0.88,"420 West St, Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,38368.07544,912.4548407,192,PARK_Maintenance_Ground Maintenance,8385,912.4548408,550,8385,0,19671,14926,38363,3741,18667,51.27596903,38.90728045,48.65886401,9.751583557,550,8385,38363,19671,14926,0,0,0,25,3741,34597,3766,51.27596903,38.90728045,0,0,0,0.065166958,9.751583557,90.18324949,9.816750515,38368.07544,912.4548408
550,8386,Mattahunt Woods III,City of Boston,WPA,6,Mattapan,3.57,"270 Walk Hill St, Mattapan, MA",Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,DND,0,0,155324.2163,3624.447599, ,PARK_Maintenance_Ground Maintenance,8386,3624.4476,551,8386,0,154477,319,155341,0,319,99.44380428,0.205354671,0.205354671,0,551,8386,155341,154477,319,0,0,0,545,0,154796,545,99.44380428,0.205354671,0,0,0,0.350841053,0,99.64915895,0.350841053,155324.2148,3624.4476
551,8387,Bay Village Garden,City of Boston,A97,5,Central Boston,0.02,"150 Arlington St, Boston, MA",Open Space District,Community Gardens,BPRD,Private,X,X,Melrose Park,BPRD,0,0,790.7370605,112.305235,16,PARK_Maintenance_Ground Maintenance,8387,112.3052349,552,8387,0,790,0,790,0,0,100,0,0,0,552,8387,790,790,0,0,0,0,0,0,790,0,100,0,0,0,0,0,0,100,0,790.7375488,112.3052349
552,8388,Pemberton Square Access,City of Boston, ,1,Central Boston,0.13,"1 Beacon St, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,5505.281738,440.0718172, ,PARK_Maintenance_Ground Maintenance,8388,440.0718172,553,8388,0,95,92,5502,178,270,1.726644856,1.672119229,4.907306434,3.235187205,553,8388,5502,95,92,0,0,3840,1297,178,187,5315,1.726644856,1.672119229,0,0,69.79280262,23.57324609,3.235187205,3.398764086,96.60123591,5505.28125,440.0718172
553,8389,Prudential Center Plaza II,Private, ,1,Back Bay/Beacon Hill,1.09,"800 Boylston St, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,47584.15723,980.6039511, ,INFO_Reallocation From Dept,8389,980.6039511,554,8389,1,951,99,47596,14503,14602,1.998067064,0.208000672,30.67904866,30.47104799,554,8389,47596,951,99,0,0,32043,0,14503,1050,46546,1.998067064,0.208000672,0,0,67.32288428,0,30.47104799,2.206067737,97.79393226,47584.15674,980.603951
554,8390,Prudential Center Plaza III,Private, ,1,Back Bay/Beacon Hill,1.02,"800 Boylston St, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,44570.93628,994.8888731, ,INFO_Reallocation From Dept,8390,994.888873,555,8390,0,13783,0,44572,0,0,30.92300099,0,0,0,555,8390,44572,13783,0,0,0,30789,0,0,13783,30789,30.92300099,0,0,0,69.07699901,0,0,30.92300099,69.07699901,44570.93652,994.888873
555,8391,Bussey Brook Meadow II,MBTA, ,6,Roslindale,1.17,"376 Arborway St, Boston, MA",Open Space District,Urban Wilds & Natural Areas,NULL, ,N,X,Arnold Arboretum IV,MBTA,0,0,54784.02222,1355.199565, ,INFO_Reallocation From Dept,8391,1355.199565,556,8391,0,25835,23574,54781,4802,28376,47.16051186,43.03316843,51.7989814,8.765812964,556,8391,54781,25835,23574,0,0,0,570,4802,49409,5372,47.16051186,43.03316843,0,0,0,1.040506745,8.765812964,90.19368029,9.806319709,54784.02441,1355.199565
556,8392,North Beacon Allee,Private, ,1,Allston-Brighton,0.84,"North Beacon St, Boston, MA",Conservation Protection Subdistrict,"Malls, Squares & Plazas",NULL, ,N, , , ,0,0,36673.33545,1016.650146, ,INFO_Reallocation From Dept,8392,1016.650146,557,8392,0,19714,14510,36627,2375,16885,53.82368198,39.61558413,46.09987168,6.484287547,557,8392,36627,19714,14510,0,0,28,0,2375,34224,2403,53.82368198,39.61558413,0,0,0.076446337,0,6.484287547,93.43926612,6.560733885,36673.33496,1016.650146
557,8393,Lewis Mall Harborpark,City of Boston,WPA/Ch91,1,East Boston,0.25,"83 Atlantic Ave, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,11023.65112,555.1247592, ,INFO_Reallocation From Dept,8393,555.1247593,558,8393,0,149,194,11025,3020,3214,1.351473923,1.759637188,29.15192744,27.39229025,558,8393,11025,149,194,0,0,0,7662,3020,343,10682,1.351473923,1.759637188,0,0,0,69.49659864,27.39229025,3.111111111,96.88888889,11023.65088,555.1247592
558,8394,Franklin Park II,City of Boston,A97/Lease,3,Roxbury,16.44,"1 Franklin Park Rd, Dorchester, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,Zoo New England,X,X,"""Sausage Lot""",DCR,0,0,716128.2046,5477.287637, ,INFO_Reallocation From Dept,8394,5477.287637,559,8394,0,537661,96262,713961,59573,155835,75.30677446,13.48280929,21.82682247,8.344013188,559,8394,713961,537661,96262,10905,0,209,20256,48668,644828,69133,75.30677446,13.48280929,1.527394353,0,0.029273308,2.837129759,6.816618835,90.3169781,9.683021902,716128.2053,5477.287637
559,8395,St. John Chrysostom Tract,Private,100,6,West Roxbury,4.31,"475 Shawmut Ave, Boston, MA",Residential District,Urban Wilds & Natural Areas,NULL, ,N, , , ,0,0,187543.7659,2206.760472, ,INFO_Reallocation From Dept,8395,2206.760472,560,8395,0,180504,6542,187558,435,6977,96.23903006,3.487987716,3.719915973,0.231928257,560,8395,187558,180504,6542,0,0,0,77,435,187046,512,96.23903006,3.487987716,0,0,0,0.041053967,0.231928257,99.72701778,0.272982224,187543.7664,2206.760472
560,8396,O'Reilly Way Court,BHA, ,3,Charlestown,0.53,"100 O'Reilly Way, South Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",NULL,BHA,N,X, , ,0,0,23037.26685,768.4255955, ,INFO_Reallocation From Dept,8396,768.4255955,561,8396,0,9539,488,23036,13009,13497,41.4090988,2.118423337,58.5909012,56.47247786,561,8396,23036,9539,488,0,0,0,0,13009,10027,13009,41.4090988,2.118423337,0,0,0,0,56.47247786,43.52752214,56.47247786,23037.26685,768.4255955
561,8397,Canterbury Brookside I,Commonwealth of Massachusetts,WPA/100,6,Mattapan,3.57,"347 Pond St, Jamaica Plain, MA",Special District,Urban Wilds & Natural Areas,NULL, ,N, , , ,0,0,142746.6353,2424.978446, ,INFO_Reallocation From Dept,8397,2424.978446,562,8397,0,131484,9070,142755,1795,10865,92.10465483,6.353542783,7.610941823,1.25739904,562,8397,142755,131484,9070,0,0,0,406,1795,140554,2201,92.10465483,6.353542783,0,0,0,0.284403348,1.25739904,98.45819761,1.541802389,142746.6353,2424.978446
562,8398,South Shore Plaza Courts,Private,WPA/Ch91,3,East Boston,0.23,"500 Grossman Dr, Braintree, MA",Special District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,10181.23755,403.6711163, ,INFO_Reallocation From Dept,8398,403.6711163,563,8398,0,68,0,10182,10114,10114,0.667845217,0,99.33215478,99.33215478,563,8398,10182,68,0,0,0,0,0,10114,68,10114,0.667845217,0,0,0,0,0,99.33215478,0.667845217,99.33215478,10181.23755,403.6711163
563,8399,South Shore Plaza Park,Private, ,1,East Boston,0.5,"250 Granite St, Braintree, MA",Special District,"Malls, Squares & Plazas",NULL, ,N, , , ,0,0,21699.47632,625.5019561, ,INFO_Reallocation From Dept,8399,625.501956,564,8399,0,325,5099,21695,16271,21370,1.498041023,23.50311132,98.50195898,74.99884766,564,8399,21695,325,5099,0,0,0,0,16271,5424,16271,1.498041023,23.50311132,0,0,0,0,74.99884766,25.00115234,74.99884766,21699.47632,625.501956
564,8400,West End Recreation Complex,Private, ,3,Central Boston,3.42,"150 Staniford St, Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,149003.3315,2290.241079, ,INFO_Reallocation From Dept,8400,2290.241079,565,8400,3,15904,17634,149001,108678,126312,10.67375387,11.8348199,84.77258542,72.93776552,565,8400,149001,15904,17634,0,0,4178,2607,108678,33538,115463,10.67375387,11.8348199,0,0,2.804008027,1.749652687,72.93776552,22.50857377,77.49142623,149003.3315,2290.241079
565,8401,Thoreau Path,Private, ,1,Central Boston,3.86,"50 Brattle St, Cambridge, MA",Residential District,"Malls, Squares & Plazas",City of Boston, ,N,X,West End Walk, ,0,0,167999.5061,4315.038257, ,INFO_Reallocation From Dept,8401,4315.038257,566,8401,2,109418,21118,167906,17754,38872,65.16622396,12.57727538,23.1510488,10.57377342,566,8401,167906,109418,21118,0,0,1306,18310,17754,130536,37370,65.16622396,12.57727538,0,0,0.777816159,10.90491108,10.57377342,77.74349934,22.25650066,167999.5063,4315.038257
566,8402,UMass Boston Campus Ctr Oval,Commonwealth of Massachusetts,WPA/Ch91,1,Dorchester,1.66,"100 Morrissey Blvd, Boston, MA",Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,72599.99146,965.4659484, ,INFO_Reallocation From Dept,8402,965.4659484,567,8402,0,485,57103,72601,8153,65256,0.668034876,78.6531866,89.88305946,11.22987287,567,8402,72601,485,57103,0,0,0,6860,8153,57588,15013,0.668034876,78.6531866,0,0,0,9.448905662,11.22987287,79.32122147,20.67877853,72599.99194,965.4659484
567,8403,Brian Honan Park,Private,A97/CR,3,Allston-Brighton,0.45,"42 Chestnut Hill Ave, Brighton, MA",Residential District,"Parks, Playgrounds & Athletic Fields",BCC,Private,X,X, , ,0,0,41975.07129,1141.821496, ,INFO_Reallocation From Dept,8403,1141.821496,568,8403,0,30554,9141,41980,2275,11416,72.78227727,21.7746546,27.19390186,5.419247261,568,8403,41980,30554,9141,0,0,0,10,2275,39695,2285,72.78227727,21.7746546,0,0,0,0.023820867,5.419247261,94.55693187,5.443068128,41975.07129,1141.821496
568,8404,Brighton HS Hillside,City of Boston, ,1,Allston-Brighton,1.43,"25 Warren St, Brighton, MA",Residential District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,62147.87915,1386.193483, ,INFO_Reallocation From Dept,8404,1386.193483,569,8404,0,30448,25702,62146,5983,31685,48.99430374,41.35744859,50.98477778,9.627329193,569,8404,62146,30448,25702,0,0,0,13,5983,56150,5996,48.99430374,41.35744859,0,0,0,0.020918482,9.627329193,90.35175233,9.648247675,62147.87964,1386.193483
569,8405,St. Elizabeth's Hospital Campus,Private, ,1,Allston-Brighton,4.86,"736 Cambridge St, Brighton, MA",Conservation Protection Subdistrict,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,211857.2144,2395.392019, ,INFO_Reallocation From Dept,8405,2395.392019,570,8405,2,74056,79814,211867,46346,126160,34.95400416,37.6717469,59.54679115,21.87504425,570,8405,211867,74056,79814,0,0,6565,5086,46346,153870,57997,34.95400416,37.6717469,0,0,3.098642073,2.400562617,21.87504425,72.62575106,27.37424894,211857.2136,2395.392019
570,8406,Allandale Woods II,City of Boston,LWCF/A97/WPA,6,West Roxbury,10.59,"500 Allandale Rd, Boston, MA",Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X,Brandagee Estate & Recuperative Center Parcels, ,0,0,461736.4146,3521.631769, ,PARK_Maintenance_Ground Maintenance,8406,3521.631769,571,8406,0,459861,1724,461714,0,1724,99.59866931,0.37339132,0.37339132,0,571,8406,461714,459861,1724,0,0,0,129,0,461585,129,99.59866931,0.37339132,0,0,0,0.027939374,0,99.97206063,0.027939374,461736.4131,3521.631769
571,8407,Allan Crite Garden II,BRA, ,5,Roxbury,0.04,"78 Walnut Ave, Roxbury, MA",Open Space District,Community Gardens,BNAN_TTOR,Cooper Community Garden Ctr,N, , , ,0,0,1609.355713,194.8552795, ,INFO_Reallocation From Dept,8407,194.8552794,572,8407,0,590,1020,1610,0,1020,36.64596273,63.35403727,63.35403727,0,572,8407,1610,590,1020,0,0,0,0,0,1610,0,36.64596273,63.35403727,0,0,0,0,0,100,0,1609.356201,194.8552794
572,8408,East Boston Social Centers Playlot,Private, ,3,East Boston,0.33,"68 Central Sq, East Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,14764.42334,486.4957283, ,INFO_Reallocation From Dept,8408,486.4957283,573,8408,0,6434,6479,14775,1770,8249,43.5465313,43.85109983,55.83079526,11.97969543,573,8408,14775,6434,6479,0,0,92,0,1770,12913,1862,43.5465313,43.85109983,0,0,0.622673435,0,11.97969543,87.39763113,12.60236887,14764.4231,486.4957282
573,8409,Oxford Place Plaza,Private, ,3,Central Boston,0.05,"50 Staniford St, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,2039.811768,178.7404142, ,INFO_Reallocation From Dept,8409,178.7404143,574,8409,0,538,155,2042,1099,1254,26.3467189,7.590597453,61.41038198,53.81978453,574,8409,2042,538,155,0,0,182,68,1099,693,1349,26.3467189,7.590597453,0,0,8.912830558,3.33006856,53.81978453,33.93731636,66.06268364,2039.811768,178.7404143
574,8410,Mattahunt Woods II,Private,WPA,6,Mattapan,3.74,"113-119 Walk Hill St, Mattapan, MA",Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,n/a,0,0,162700.9668,6208.268771, ,INFO_Reallocation From Dept,8410,6208.268771,575,8410,0,159272,2242,162700,0,2242,97.8930547,1.377996312,1.377996312,0,575,8410,162700,159272,2242,0,0,0,1186,0,161514,1186,97.8930547,1.377996312,0,0,0,0.728948986,0,99.27105101,0.728948986,162700.9651,6208.268771
575,8411,Mattahunt Woods Buffer,Private, ,6,Mattapan,1.02,"113-119 Walk Hill St, Mattapan, MA",Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,n/a,0,0,44718.1394,972.7562976, ,INFO_Reallocation From Dept,8411,972.7562976,576,8411,0,44664,2,44715,0,2,99.88594431,0.004472772,0.004472772,0,576,8411,44715,44664,2,0,0,0,49,0,44666,49,99.88594431,0.004472772,0,0,0,0.109582914,0,99.89041709,0.109582914,44718.13965,972.7562976
576,8412,Mattahunt School Woods,City of Boston, ,6,Mattapan,0.96,"100 Hebron St, Mattapan, MA",Residential District,Urban Wilds & Natural Areas,NULL,n/a,N,X, ,BPS,0,0,129744.4504,2790.451298, ,INFO_Reallocation From Dept,8412,2790.451298,577,8412,0,125231,2832,129726,181,3013,96.53500455,2.183062763,2.322587608,0.139524845,577,8412,129726,125231,2832,0,0,83,1399,181,128063,1663,96.53500455,2.183062763,0,0,0.063981006,1.078426838,0.139524845,98.71806731,1.281932689,129744.4502,2790.451298
